Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
10.0,26.5,2.3,320.0,60.0,1.13397864621,0.0,-1.66100100706,26.0011786653,0.250073139229,26.5392392738,0.490000009537,0.0,0.479999989271
11.0,27.0,2.3,320.0,58.0,1.13219765468,0.0,-1.65689090807,26.0085776835,0.347217773134,26.8339165807,0.490000009537,0.0,0.479999989271
12.0,27.5,2.4,320.0,55.0,1.13087885593,0.0,-1.64573180878,25.9967972133,0.433348796726,27.2846368528,0.490000009537,0.0,0.479999989271
13.0,28.1,2.5,320.0,52.0,1.12911373556,0.0,-1.65419787939,26.0262398403,0.529667835787,27.3204708047,0.490000009537,0.0,0.479999989271
14.0,28.6,2.6,270.0,50.0,1.12747370195,0.0,-1.642508065,25.995324379,0.546952615478,26.7628862364,0.490000009537,0.0,0.479999989271
15.0,27.9,2.4,270.0,53.0,1.12969395045,0.0,-1.65144239201,25.9916424285,0.431901397985,27.8365763244,0.490000009537,0.0,0.479999989271
16.0,27.3,2.2,270.0,55.0,1.13190436517,0.0,-1.63215322138,26.0018634792,0.682579359163,27.6586444327,0.490000009537,0.0,0.479999989271
17.0,26.6,2.0,270.0,57.0,1.13467266394,0.0,-1.61528473694,25.9991427293,0.661045272233,27.1969870191,0.490000009537,0.0,0.479999989271
18.0,25.9,1.9,270.0,60.0,1.13709707142,0.0,-1.61165998973,25.9977446256,0.567807547165,26.6981489366,0.5,0.0,0.479999989271
19.0,25.3,1.7,270.0,63.0,1.13907226856,0.0,-1.60569179681,25.9958484753,0.458799909372,26.5005260625,0.5,0.0,0.479999989271
20.0,24.6,1.5,320.0,66.0,1.14163636434,0.0,-1.58672941475,25.9944599238,0.407908803824,26.0980279486,0.5,0.0,0.479999989271
21.0,24.1,1.7,320.0,70.0,1.14285510263,0.0,-1.56283520131,26.0001449454,0.315987897824,26.2645950705,0.5,0.0,0.479999989271
22.0,23.5,2.0,320.0,75.0,1.14551544466,0.0,-1.52392190109,25.8710231676,0.348752403285,26.0744850225,0.5,0.0,0.479999989271
23.0,23.0,2.2,320.0,81.0,1.14622606961,0.0,-1.52969701357,25.4799000174,0.311886604163,25.8421631978,0.5,0.0,0.479999989271
0.0,22.4,2.4,320.0,86.0,1.14555714567,0.0,-1.61708427521,25.0175120518,0.268356158375,25.315543087,0.5,0.0,0.479999989271
1.0,22.1,2.7,320.0,85.0,1.14871305382,0.0,-1.74495191657,24.676401126,0.179317598228,25.0179176984,0.5,0.0,0.479999989271
2.0,21.7,2.9,320.0,85.0,1.15091615929,0.0,-1.88988254508,24.317053395,0.0959955176521,24.7219666432,0.5,0.0,0.479999989271
3.0,21.3,3.1,320.0,84.0,1.15341144064,0.0,-2.04163312566,23.948718898,0.00624283746166,24.4140348526,0.5,0.0,0.479999989271
4.0,20.9,3.4,320.0,83.0,1.15707044614,0.0,-2.2075775339,23.5311618602,-0.0903555596448,24.0655989945,0.5,0.0,0.479999989271
5.0,20.5,3.6,320.0,83.0,1.15923930497,0.0,-2.39363344066,23.1608075363,-0.199279445398,23.748532635,0.5,0.0,0.479999989271
6.0,21.7,3.4,320.0,79.0,1.15393906874,0.0,-2.55060650604,24.0471640606,-0.290942141006,24.2005310211,0.5,0.0,0.479999989271
7.0,22.8,3.3,320.0,77.0,1.14863102827,0.0,-2.28705321948,24.774921028,-0.204062886393,24.5749997363,0.5,0.0,0.479999989271
8.0,24.0,3.1,360.0,74.0,1.14198715933,0.0,-2.04123304967,25.6175345818,-0.100320531099,24.787574127,0.5,0.0,0.479999989271
9.0,25.2,2.9,360.0,71.0,1.13659842546,0.0,-1.76178189256,25.9960395399,-0.030489172479,25.7845203931,0.5,0.0,0.479999989271
10.0,26.3,2.8,360.0,68.0,1.13183303106,0.0,-1.62121748989,26.0003632657,0.196256951568,26.335306722,0.490000009537,0.0,0.479999989271
11.0,27.5,2.6,360.0,66.0,1.12503700676,0.0,-1.5998536675,25.9863450496,0.33909584319,26.9455690871,0.490000009537,0.0,0.479999989271
12.0,28.7,2.4,360.0,63.0,1.11990306973,0.0,-1.57577463569,25.9743774865,0.505963839414,26.3061577376,0.490000009537,0.0,0.479999989271
13.0,29.8,2.3,360.0,61.0,1.11378081174,0.0,-1.55394203253,25.9902417182,0.391466174402,26.3779511762,0.490000009537,0.0,0.479999989271
14.0,31.0,2.1,140.0,59.0,1.10833120618,0.0,-1.52070387252,25.9482351492,0.430832175297,30.0663600723,0.5,0.0,0.479999989271
15.0,30.2,2.0,140.0,62.0,1.1111357082,0.0,-1.55123810494,26.0372877366,1.21012046004,29.261580641,0.5,0.0,0.479999989271
16.0,29.3,1.9,140.0,66.0,1.11411027897,0.0,-1.50449424956,26.0307680928,1.07859096863,28.8910118665,0.5,0.0,0.479999989271
17.0,28.5,1.8,140.0,70.0,1.11667278495,0.0,-1.48335494573,25.9927864003,1.01553243557,29.138673448,0.5,0.0,0.479999989271
18.0,27.7,1.7,140.0,74.0,1.11935725231,0.0,-1.44751716008,26.0001110468,1.11808379238,28.568277372,0.5,0.0,0.479999989271
19.0,26.8,1.6,140.0,79.0,1.12230958134,0.0,-1.42077669407,25.9930260619,1.01460654896,28.1537348995,0.5,0.0,0.479999989271
20.0,26.0,1.5,140.0,84.0,1.12484756589,0.0,-1.3999888724,25.976970591,0.932632328906,27.7080100249,0.5,0.0,0.479999989271
